TARIH,MAC_NO,ERROR_CODE
10.06.2022 00:03:08,ECBE5F1C6AF6,NOER
10.06.2022 00:04:34,ECBE5F4E99A1,NOER
10.06.2022 00:07:01,ECBE5F93D95F,NOER
10.06.2022 00:08:10,ECBE5F33DB19,NOER
10.06.2022 00:12:57,CCD3C1DC89C6,NOER
10.06.2022 00:21:06,CCD3C1AA84B2,NOER
10.06.2022 00:21:48,ECBE5F5A2063,NOER
10.06.2022 00:23:49,ECBE5F3A56E0,NOER
10.06.2022 00:25:03,CCD3C1BA85E7,NOER
10.06.2022 00:25:12,ECBE5F037A17,NOER
10.06.2022 00:28:13,ECBE5F50CAB5,NOER
10.06.2022 00:37:32,ECBE5F390173,NOER
10.06.2022 00:38:39,CCD3C1A89EF9,NOER
10.06.2022 00:39:37,ECBE5F04E1FE,NOER
10.06.2022 00:42:23,ECBE5F1CAD6D,NOER
10.06.2022 00:47:55,ECBE5F1A44E5,NOER
10.06.2022 00:48:02,CCD3C1DC95C8,NOER
10.06.2022 00:48:05,ECBE5F4FD766,NOER
10.06.2022 00:48:43,ECBE5F584077,NOER
10.06.2022 00:53:31,ECBE5FD8861F,NOER
10.06.2022 00:53:47,ECBE5F33D9E4,NOER
10.06.2022 00:54:56,ECBE5F33E900,NOER
10.06.2022 00:57:15,ECBE5F6A4145,NOER
10.06.2022 00:59:32,CCD3C1DBA213,NOER
10.06.2022 01:09:21,CCD3C1DC8C63,NOER
10.06.2022 01:09:50,CCD3C16896E8,NOER
10.06.2022 01:10:37,CCD3C17A33DF,NOER
10.06.2022 01:11:03,ECBE5F327481,NOER
10.06.2022 01:12:46,ECBE5F06EFA8,NOER
10.06.2022 01:16:47,ECBE5FD92514,NOER
10.06.2022 01:17:20,CCD3C1BB4347,NOER
10.06.2022 01:19:53,CCD3C1BBCA0F,NOER
10.06.2022 01:21:17,ECBE5F38696D,NOER
10.06.2022 01:24:26,ECBE5F33FE5F,ER09
10.06.2022 01:28:21,ECBE5F33EE59,NOER
10.06.2022 01:29:55,CCD3C1BA7F69,NOER
10.06.2022 01:46:27,ECBE5F1A44E5,NOER
10.06.2022 01:49:38,ECBE5F1A44E5,NOER
10.06.2022 01:50:29,ECBE5F7F5268,NOER
10.06.2022 01:50:53,ECBE5F1A44E5,NOER
10.06.2022 01:51:27,ECBE5F18B456,NOER
10.06.2022 01:51:34,CCD3C1965BEF,NOER
