TARIH,MAC_NO,COMP
06.04.2021,CCD3C19656C0,Bzd-Kapı
12.04.2021,CCD3C1BA8573,BZD-Şişelik
13.04.2021,CCD3C1DE6C0E,Bzd-Kapı
13.04.2021,CCD3C1BC0824,Bzd-Filtre
19.04.2021,CCD3C1DE716B,Buzdolabı Logo
19.04.2021,CCD3C1DE716B,Bzd-Kapı
19.04.2021,CCD3C17A3D36,Bzd-Kapı Kolu
26.04.2021,ECBE5F32764C,Bzd-Dryer
26.04.2021,ECBE5F32764C,Bzd-Gaz
26.04.2021,ECBE5F32764C,Bzd-İzolasyon
26.04.2021,ECBE5F32764C,Bzd-Kompresör
29.04.2021,CCD3C168846A,Bzd-Buzmatik
03.05.2021,CCD3C16808E5,Bzd-Display
08.05.2021,CCD3C1BB5DC7,BZD-Raf
17.05.2021,CCD3C1DD359F,Bzd-Kapı
25.05.2021,CCD3C1D9BE84,BZD-Chiller
25.05.2021,CCD3C1D9BE84,BZD-Raf
25.05.2021,CCD3C1D9BE84,BZD-Sebzelik
25.05.2021,CCD3C1BBB357,Bzd-Kapı
26.05.2021,CCD3C1DA101D,Bzd-Kapı
31.05.2021,CCD3C1961B8B,BZD-Raf
02.06.2021,CCD3C1AB8053,Bzd-Kapı
05.06.2021,CCD3C1DBBC81,Bzd-Kapı
08.06.2021,CCD3C1769D81,Bzd-Anahtar/Şalter
08.06.2021,CCD3C1769D81,Bzd-Elekt.Kart
11.06.2021,CCD3C1DE5D12,Bzd-Filtre
12.06.2021,CCD3C1DACB24,Bzd-Mek. Tamamlayıcı
16.06.2021,ECBE5F06285E,Bzd-Kapı Contası
24.06.2021,ECBE5F13A4A0,Bzd-Aksesuar
29.06.2021,CCD3C1FE1A02,Buzdolabı Logo
29.06.2021,CCD3C1FE1A02,Bzd-Kapı
02.07.2021,CCD3C1B9BA78,BZD-Şişelik
08.07.2021,CCD3C1D9E371,Bzd-Sepet
12.07.2021,CCD3C1BBEC29,Bzd-Tekerlek
17.07.2021,CCD3C1D9F29A,Bzd-Mek. Tamamlayıcı
19.07.2021,CCD3C1DA101D,Bzd-Aksesuar
24.07.2021,CCD3C1BA3EDB,BZD-Şişelik
25.07.2021,CCD3C1FE522B,BZD-Sebzelik
26.07.2021,ECBE5F317280,Bzd-Mek. Tamamlayıcı
28.07.2021,ECBE5F03D235,Bzd-Kapı
30.07.2021,CCD3C178770C,Bzd-Kapı
02.08.2021,CCD3C1ABC2E9,Bzd-Kapı
03.08.2021,ECBE5F32E811,Bzd-Kapı
03.08.2021,CCD3C1DF00E5,Bzd-Kapı Kolu
04.08.2021,CCD3C1D9C676,Bzd-Dryer
04.08.2021,CCD3C1D9C676,Bzd-Elekt.Kart
04.08.2021,CCD3C1D9C676,Bzd-Gaz
04.08.2021,CCD3C1D9C676,Bzd-Kompresör
05.08.2021,CCD3C1BC1232,Bzd-Kapı
06.08.2021,ECBE5F04FEAC,Bzd-Kapı Kolu
06.08.2021,CCD3C1DB52CA,Bzd-Kapı
10.08.2021,CCD3C1D9D8E7,Bzd-Kapı Kolu
10.08.2021,CCD3C1DF4B63,Bzd-Kapı
13.08.2021,CCD3C1346EA1,Bzd-Kapı
13.08.2021,ECBE5F327EF8,BZD-Raf
14.08.2021,ECBE5F19CBA5,BZD-Raf
16.08.2021,CCD3C1DE9177,Bzd-Mek. Tamamlayıcı
16.08.2021,CCD3C1DE9177,BZD-Raf
19.08.2021,CCD3C1FE1701,BZD-Chiller
19.08.2021,CCD3C1FE1701,Bzd-Mek. Tamamlayıcı
19.08.2021,CCD3C1BBF8B9,Bzd-Mek. Tamamlayıcı
19.08.2021,CCD3C1BBF8B9,BZD-Raf
19.08.2021,ECBE5F327A7D,Bzd-Mek. Tamamlayıcı
20.08.2021,ECBE5F315BE4,BZD-Sebzelik
21.08.2021,CCD3C1DBC833,Bzd-Kapı
23.08.2021,ECBE5F062FAE,Bzd-Mek. Tamamlayıcı
24.08.2021,ECBE5F327A66,Bzd-Kapı
26.08.2021,ECBE5F1A0FD3,Bzd-Ayak
26.08.2021,CCD3C1BA0BA8,Bzd-Kapı
26.08.2021,CCD3C1BA0BA8,Bzd-Mek. Tamamlayıcı
28.08.2021,ECBE5F3123BC,Bzd-Kapı Kolu
30.08.2021,CCD3C1D9E457,Bzd-Inverter Kart
30.08.2021,CCD3C1AC7345,BZD-Chiller
01.09.2021,ECBE5F1D3C14,Bzd-Mek. Tamamlayıcı
04.09.2021,ECBE5F18E8F5,Bzd-Kapı Contası
04.09.2021,ECBE5F18E8F5,BZD-Raf
13.09.2021,ECBE5F337091,Buzdolabı Logo
15.09.2021,ECBE5F33F82F,Bzd-Mek. Tamamlayıcı
16.09.2021,ECBE5F33E8B4,Bzd-Mek. Tamamlayıcı
16.09.2021,ECBE5F1A1106,Bzd-Aksesuar
16.09.2021,ECBE5F1A1106,Bzd-Aksesuar
20.09.2021,CCD3C1BCBB19,Bzd-Elekt.Kart
21.09.2021,ECBE5F19B2E7,Bzd-Kapı
21.09.2021,ECBE5F19B2E7,BZD-Şişelik
21.09.2021,ECBE5F13A8AB,TV-Ambalaj Malzemesi
22.09.2021,CCD3C1DA39C5,Bzd-Elekt.Kart
25.09.2021,CCD3C1974E53,Bzd-Kapı
02.10.2021,CCD3C18EDC48,Bzd-Kompresör
04.10.2021,CCD3C1DA39C5,Bzd-Inverter Kart
13.10.2021,ECBE5F33EBD3,Bzd-Mek. Tamamlayıcı
15.10.2021,ECBE5F33EE1E,BZD-Şişelik
16.10.2021,ECBE5F1BC9BF,Bzd-Fan Motoru
27.10.2021,CCD3C1DBE457,Bzd-Elekt.Kart
28.10.2021,CCD3C1DF49BD,Bzd-Display
31.10.2021,CCD3C1791DCF,Bzd-Filtre
03.11.2021,CCD3C1BCB9D6,Bzd-Filtre
04.11.2021,ECBE5F336530,Bzd-Aksesuar
05.11.2021,ECBE5F3363F8,Bzd-Kapı Kolu
07.11.2021,ECBE5F13400B,Bzd-Sepet
09.11.2021,ECBE5F3A53FC,Bzd-Kapı
09.11.2021,ECBE5F394EA9,Bzd-Fan Motoru
16.11.2021,CCD3C19EFD83,Bzd-Kapı
17.11.2021,ECBE5F33EB09,Bzd-Mek. Tamamlayıcı
18.11.2021,ECBE5F327A66,Bzd-Kapı Kolu
19.11.2021,ECBE5F33DC9E,Bzd-Kapı
20.11.2021,ECBE5F393A3D,Bzd-Buzmatik
03.12.2021,ECBE5F50495C,Bzd-Kapı Kolu
10.12.2021,ECBE5F310230,BZD-Şişelik
11.12.2021,CCD3C1DBF10F,Bzd-Kapı
11.12.2021,ECBE5F50FDB3,BZD-Sebzelik
13.12.2021,ECBE5F49715B,Bzd-Display
13.12.2021,ECBE5F49715B,Bzd-Elekt.Kart
16.12.2021,ECBE5F3A5A8C,BZD-Sebzelik
18.12.2021,ECBE5F33D4CC,Bzd-Aksesuar
27.12.2021,ECBE5F33EACD,Bzd-Kapı
29.12.2021,CCD3C1AA864B,Bzd-Elekt.Kart
04.01.2022,ECBE5F1A126F,Bzd-Fan Motoru
04.01.2022,CCD3C1DF49BD,Bzd-Elekt.Kart
07.01.2022,ECBE5F509D7D,Bzd-Kapı
08.01.2022,ECBE5F4F3FC7,Bzd-Mek. Tamamlayıcı
09.01.2022,ECBE5F1D23ED,Bzd-Sepet
13.01.2022,CCD3C1DC936B,Bzd-Dryer
13.01.2022,CCD3C1DC936B,Bzd-Gaz
15.01.2022,CCD3C1B9FCFF,Bzd-Kapı
17.01.2022,ECBE5F1D1318,Bzd-Kapı Kolu
17.01.2022,ECBE5F17E801,Bzd-Hava Kanal
17.01.2022,ECBE5F17E801,Bzd-Mek. Tamamlayıcı
20.01.2022,ECBE5F3A5B11,Bzd-Kapı Kolu
20.01.2022,ECBE5F321BA5,BZD-Raf
20.01.2022,ECBE5F321BA5,BZD-Şişelik
21.01.2022,CCD3C1DF49BD,Bzd-Elekt.Kart
22.01.2022,CCD3C1FE16BB,Bzd-Sensör
22.01.2022,ECBE5F4FC378,Bzd-Aksesuar
25.01.2022,ECBE5F50495C,Bzd-Kapı Kolu
27.01.2022,CCD3C1BC1178,BZD-Raf
27.01.2022,ECBE5F19CC66,Bzd-Mek. Tamamlayıcı
27.01.2022,ECBE5F19CC66,BZD-Raf
29.01.2022,ECBE5F514D3F,Bzd-Kapı
31.01.2022,ECBE5F3A5715,Buzdolabı Logo
01.02.2022,CCD3C1AA8E92,Bzd-Anahtar/Şalter
03.02.2022,ECBE5F763456,Bzd-Kapı
04.02.2022,ECBE5F33ED9D,BZD-Raf
05.02.2022,ECBE5F756074,Bzd-Kapı
05.02.2022,ECBE5F756074,BZD-Şişelik
05.02.2022,CCD3C1BA0BA8,Bzd-Kapı Kolu
07.02.2022,ECBE5F6A920E,Buzdolabı Logo
07.02.2022,ECBE5F6A920E,Bzd-Kapı
07.02.2022,ECBE5F392F4F,Bzd-Kapı
08.02.2022,CCD3C16808F9,Bzd-Elekt.Kart
08.02.2022,ECBE5F509E99,Bzd-Fan Motoru
08.02.2022,ECBE5F50BA92,Bzd-Elekt.Kart
09.02.2022,ECBE5F0346A2,Bzd-Mek. Tamamlayıcı
09.02.2022,ECBE5F0346A2,BZD-Raf
10.02.2022,ECBE5F5121BC,Bzd-Elekt.Kart
10.02.2022,ECBE5F5121BC,Bzd-Kapı
11.02.2022,CCD3C1A93258,Bzd-Lamba
16.02.2022,ECBE5F5143A3,Bzd-Bağlantı Elemanı
16.02.2022,ECBE5F5143A3,Bzd-Tekerlek
21.02.2022,ECBE5F393A64,Bzd-Kapı
22.02.2022,ECBE5F1A5C03,Bzd-Fan Motoru
25.02.2022,ECBE5F5167EA,Bzd-Mek. Tamamlayıcı
28.02.2022,ECBE5F509F30,Bzd-Dryer
28.02.2022,ECBE5F509F30,Bzd-Gaz
02.03.2022,ECBE5F33F3E2,Bzd-Kapı
02.03.2022,ECBE5F6A96EE,BZD-Şişelik
03.03.2022,ECBE5F395221,Bzd-Elekt.Kart
05.03.2022,ECBE5F33FCCE,Bzd-Kapı Kolu
08.03.2022,ECBE5F33FBEE,Bzd-Kapı Kolu
09.03.2022,ECBE5F18E7C4,Bzd-Mek. Tamamlayıcı
10.03.2022,ECBE5F3A18A5,Bzd-Kapı Kolu
10.03.2022,CCD3C1DB09C8,Bzd-Kapı Contası
11.03.2022,ECBE5F327FA4,Bzd-Buharlaştırma Ka
11.03.2022,ECBE5F327FA4,Bzd-İzolasyon
16.03.2022,ECBE5F50BE05,BZD-Şişelik
19.03.2022,ECBE5F19B68E,Bzd-Elekt.Kart
21.03.2022,ECBE5F39374A,Bzd-Elekt.Kart
21.03.2022,ECBE5F39374A,Bzd-Gaz
21.03.2022,ECBE5F39374A,Bzd-Inverter Kart
21.03.2022,ECBE5F39374A,Bzd-Kompresör
22.03.2022,CCD3C1973A04,Bzd-Kablo Grubu
23.03.2022,CCD3C19EEB5F,Bzd-Elekt.Kart
23.03.2022,ECBE5F1D3C6A,Buzdolabı Logo
23.03.2022,ECBE5F1D3C6A,Bzd-Kapı
23.03.2022,ECBE5F054D85,Bzd-Kapı Contası
26.03.2022,ECBE5F3A5B50,BZD-Raf
26.03.2022,ECBE5F751841,Bzd-Kapı
28.03.2022,ECBE5F513FA8,Bzd-Kapı Kolu
29.03.2022,ECBE5F3920F2,Bzd-Buzmatik
29.03.2022,ECBE5F3920F2,BZD-Chiller
29.03.2022,ECBE5F3920F2,Bzd-Kapı
29.03.2022,ECBE5F33FAC7,Bzd-Kapı
30.03.2022,CCD3C1782858,BZD-Chiller
31.03.2022,ECBE5F33DB8C,Bzd-Kapı
02.04.2022,ECBE5F4EE789,Bzd-Mek. Tamamlayıcı
02.04.2022,ECBE5F4EE789,BZD-Raf
02.04.2022,CCD3C1BAB0A3,Bzd-Gaz
04.04.2022,ECBE5F4E7FCA,Bzd-Elekt.Kart
05.04.2022,ECBE5F3A5B50,Buzdolabı Logo
05.04.2022,ECBE5F3A5B50,Bzd-Anahtar/Şalter
05.04.2022,ECBE5F3A5B50,Bzd-Ayak
05.04.2022,ECBE5F3A5B50,Bzd-Elekt.Kart
11.04.2022,ECBE5F49714D,Bzd-Elekt.Kart
14.04.2022,ECBE5F1C98DD,Bzd-Ayak
14.04.2022,ECBE5F755606,Buzdolabı Logo
14.04.2022,ECBE5F755606,Bzd-Kapı
18.04.2022,ECBE5F32213F,BZD-Sebzelik
18.04.2022,ECBE5F50B239,Bzd-Mek. Tamamlayıcı
18.04.2022,ECBE5F50B239,DD-Mek. Tamamlayıcı
20.04.2022,ECBE5F33F417,Bzd-Kapı
21.04.2022,ECBE5F1D1437,Bzd-Fan Pervane
21.04.2022,ECBE5F4F26C3,Bzd-Elekt.Kart
21.04.2022,CCD3C1DA6B53,Bzd-Inverter Kart
26.04.2022,ECBE5F39277D,Bzd-Elekt.Kart
28.04.2022,ECBE5F69B72B,Bzd-Kapı Kolu
28.04.2022,ECBE5F12C53F,BZD-Raf
28.04.2022,ECBE5F600757,Bzd-Elekt.Kart
29.04.2022,CCD3C1DA6B53,Bzd-Gaz
29.04.2022,CCD3C1DA6B53,DD-Kompresör
30.04.2022,ECBE5F507F3E,Bzd-Kablo Grubu
30.04.2022,ECBE5F507F3E,BZD-Raf
30.04.2022,ECBE5F4F52F4,Bzd-Elekt.Kart
30.04.2022,ECBE5F6A27CD,BZD-Sebzelik
06.05.2022,ECBE5F1D1423,Bzd-Filtre
06.05.2022,ECBE5F395C2B,Bzd-Dryer
06.05.2022,ECBE5F395C2B,Bzd-Elekt.Kart
06.05.2022,ECBE5F395C2B,Bzd-Gaz
06.05.2022,ECBE5F395C2B,Bzd-Kompresör
07.05.2022,ECBE5F33F885,Bzd-Bağlantı Elemanı
07.05.2022,ECBE5F33F885,Bzd-Kapı Kolu
