TARIH,MAC_NO,IL
04.01.2021,CCD3C13336E5,TR/048
13.01.2021,CCD3C1680CC0,TR/034
13.01.2021,CCD3C16B21CC,TR/034
28.01.2021,CCD3C17876CB,TR/034
28.01.2021,CCD3C19EA6FA,TR/034
02.02.2021,CCD3C1AA84B2,TR/020
04.02.2021,CCD3C13336E5,TR/048
11.02.2021,CCD3C1AB6DFD,TR/034
15.02.2021,CCD3C1A7833B,TR/035
21.02.2021,CCD3C1AC7345,TR/007
22.02.2021,CCD3C168D7A5,TR/059
05.03.2021,CCD3C19EEB5F,TR/034
13.03.2021,CCD3C1772185,TR/034
16.03.2021,CCD3C1A88D5C,TR/061
18.03.2021,CCD3C1A8134D,TR/031
18.03.2021,CCD3C17793D9,TR/027
18.03.2021,CCD3C18EDC48,TR/020
25.03.2021,CCD3C1C1EAC3,TR/034
26.03.2021,CCD3C1AB3514,TR/053
26.03.2021,CCD3C1BC0824,TR/080
26.03.2021,CCD3C16B21CC,TR/034
26.03.2021,CCD3C177EAA8,TR/006
26.03.2021,CCD3C1788A0B,TR/034
27.03.2021,CCD3C1A8724C,TR/006
29.03.2021,CCD3C1781BB7,TR/034
29.03.2021,CCD3C1791DCF,TR/054
29.03.2021,CCD3C1964806,TR/007
31.03.2021,CCD3C1346744,TR/035
31.03.2021,CCD3C16871FD,TR/041
31.03.2021,CCD3C1A87143,TR/007
31.03.2021,CCD3C1A961AE,TR/006
01.04.2021,CCD3C1798719,TR/035
01.04.2021,CCD3C1682523,TR/034
01.04.2021,CCD3C1969A8A,TR/035
02.04.2021,CCD3C16844CC,TR/035
02.04.2021,CCD3C16855C6,TR/048
02.04.2021,CCD3C16B8ADC,TR/034
03.04.2021,CCD3C1BA1B64,TR/034
03.04.2021,CCD3C1BA1B66,TR/034
05.04.2021,CCD3C1BBCE3C,TR/035
05.04.2021,CCD3C16808F9,TR/007
05.04.2021,CCD3C19656C0,TR/034
05.04.2021,CCD3C1683A99,TR/035
05.04.2021,CCD3C1AA864B,TR/034
05.04.2021,CCD3C1BBD0C0,TR/006
06.04.2021,CCD3C1A8732C,TR/034
06.04.2021,CCD3C16B7EC5,TR/034
06.04.2021,CCD3C196CCDE,TR/006
06.04.2021,CCD3C16AC1A9,TR/074
06.04.2021,CCD3C16AFDE5,TR/034
07.04.2021,CCD3C179A58F,TR/038
07.04.2021,CCD3C173D0FA,TR/034
07.04.2021,CCD3C1BC10E6,TR/008
07.04.2021,CCD3C1789BB2,TR/006
07.04.2021,CCD3C19718D1,TR/034
07.04.2021,CCD3C1AB80C5,TR/035
07.04.2021,CCD3C1BC1217,TR/035
08.04.2021,CCD3C176A088,TR/046
08.04.2021,CCD3C1777A11,TR/042
08.04.2021,CCD3C16808E5,TR/034
08.04.2021,CCD3C1A9B776,TR/006
09.04.2021,CCD3C16896E8,TR/007
09.04.2021,CCD3C19718C2,TR/034
09.04.2021,CCD3C1BA8573,TR/020
10.04.2021,CCD3C1346725,TR/010
11.04.2021,CCD3C1BC9F9A,TR/006
12.04.2021,CCD3C1BA6936,TR/034
12.04.2021,CCD3C1BCE849,TR/006
12.04.2021,CCD3C1BB2BED,TR/053
12.04.2021,CCD3C178823D,TR/038
12.04.2021,CCD3C16B7CDF,TR/081
12.04.2021,CCD3C1BC6211,TR/001
12.04.2021,CCD3C16AA3A1,TR/033
12.04.2021,CCD3C1DE6C0E,TR/044
12.04.2021,CCD3C1DF47F1,TR/039
12.04.2021,CCD3C173A94F,TR/016
13.04.2021,CCD3C196F27D,TR/006
13.04.2021,CCD3C1DF3A2A,TR/034
13.04.2021,CCD3C19EF1FC,TR/028
13.04.2021,CCD3C1BA8FEA,TR/080
13.04.2021,CCD3C1BBC0BD,TR/080
14.04.2021,CCD3C1BBCA0F,TR/034
14.04.2021,CCD3C1786BD3,TR/006
14.04.2021,CCD3C177F12F,TR/034
14.04.2021,CCD3C177C6BF,TR/020
14.04.2021,CCD3C1AB85C7,TR/006
14.04.2021,CCD3C177C5C6,TR/027
14.04.2021,CCD3C17A33DF,TR/035
15.04.2021,CCD3C16AB7A3,TR/007
15.04.2021,CCD3C1967F6A,TR/045
15.04.2021,CCD3C1974E53,TR/007
15.04.2021,CCD3C1BCAEE9,TR/034
15.04.2021,CCD3C1A7D33F,TR/003
15.04.2021,CCD3C167C3A2,TR/034
15.04.2021,CCD3C13337CE,TR/001
16.04.2021,CCD3C17A2D97,TR/045
16.04.2021,CCD3C1769A23,TR/034
17.04.2021,CCD3C1D9C449,TR/035
19.04.2021,CCD3C19EB5DE,TR/007
19.04.2021,CCD3C1346CB8,TR/034
19.04.2021,CCD3C17A3D36,TR/034
20.04.2021,CCD3C197B068,TR/038
20.04.2021,CCD3C177EC47,TR/034
20.04.2021,CCD3C1A85C9A,TR/006
20.04.2021,CCD3C197B082,TR/068
21.04.2021,CCD3C16A321E,TR/081
21.04.2021,CCD3C134674B,TR/020
21.04.2021,CCD3C1DBC3C4,TR/038
22.04.2021,CCD3C16AF6AC,TR/032
22.04.2021,CCD3C1A96222,TR/007
22.04.2021,CCD3C1DA6CC6,TR/026
22.04.2021,CCD3C1DBBFDE,TR/070
22.04.2021,CCD3C1A8B991,TR/028
22.04.2021,CCD3C1BC11FB,TR/034
22.04.2021,CCD3C16863DE,TR/046
23.04.2021,CCD3C1DF4637,TR/055
26.04.2021,CCD3C1DE788B,TR/041
26.04.2021,CCD3C1BA7F69,TR/001
26.04.2021,CCD3C16AF9F8,TR/006
26.04.2021,CCD3C17738AE,TR/023
26.04.2021,CCD3C1A7BA16,TR/006
26.04.2021,CCD3C1DDCD52,TR/048
27.04.2021,CCD3C1333743,TR/023
27.04.2021,CCD3C16AB906,TR/034
27.04.2021,CCD3C1A8AA80,TR/032
27.04.2021,CCD3C1AA9A2B,TR/034
